prop_id	distinct_file_numbers	total_rows	file_numbers_sharing_id
7687	2	3	RES-1995-2733 | RES-1995-2733 | KNML 1374
77448	2	2	RES-2026-1743 | TEMP-13540
77453	2	2	TEMP-13542 | RES-2026-1744
77457	2	2	TEMP-13544 | RES-2026-1745
77478	2	2	TEMP-13562 | RES-2026-1747
77827	2	2	TEMP-13686 | RES-2026-1751
78018	2	2	TEMP-12018 | RES-2025-3175
7865	2	4	KNML 2801 | RES-1990-1736 | RES-1990-1736 | RES-1990-1736
78718	2	2	RES-2026-478 | TEMP-13688
78928	2	2	TEMP-18232 | COM-2026-147
79574	2	2	COM-2026-125 | TEMP-12302
79621	2	2	COM-2026-126 | TEMP-14441
79760	2	2	TEMP-18233 | COM-2026-150
8014	2	2	COM-2007-93 | MLKN 1981
80213	2	2	COM-2026-200 | RES-2026-2053
80240	2	2	MLKN 3339 | CON-IND-2020-28
8025	2	2	RES-1993-4893 | KNML 2804
8081	2	2	RES-1993-8151 | KNML 2848
8087	2	2	RES-1997-323 | KNML 2849
81047	2	2	TEMP-18234 | COM-2026-139
81535	2	2	TEMP-05154 | RES-2026-1776
81755	2	2	MLKN 3528 | CON-COM-2007-69
82028	2	2	TEMP-18235 | COM-2026-154
82288	2	2	MLKN 3515 | CON-COM-2021-116
82387	2	3	COM-2026-173 | COM-2026-173 | COM-2026-130
82825	2	2	TEMP-15454 | RES-2026-1807
82827	2	2	RES-2026-1976 | TEMP-35037
82868	2	2	RES-2026-1810 | TEMP-15599
82870	2	2	RES-1994-1984 | RES-1995-932
82966	2	2	TEMP-15634 | RES-2026-1814
82970	2	2	CON-COM-2020-507 | CON-COM-2020-508
83008	2	2	TEMP-15699 | RES-2026-1815
83100	2	2	TEMP-18236 | COM-2026-160
83208	2	2	RES-2026-1819 | TEMP-15797
83313	2	2	RES-2026-1821 | TEMP-15808
83321	2	2	TEMP-15838 | RES-2026-1823
83324	2	2	TEMP-15841 | RES-2026-1824
83607	2	2	TEMP-15765 | RES-2026-1825
83625	2	2	RES-2026-1826 | TEMP-15964
83658	2	2	RES-2026-1828 | TEMP-15984
83739	2	2	TEMP-18237 | COM-2026-162
84272	2	2	TEMP-16242 | RES-2026-1831
84351	2	2	TEMP-16061 | RES-2026-1841
84352	2	2	RES-2026-1842 | TEMP-16273
84354	2	2	TEMP-16274 | RES-2026-1843
84356	2	2	RES-2026-1844 | TEMP-16275
84358	2	2	TEMP-16276 | RES-2026-1845
84361	2	2	RES-2026-1848 | TEMP-16278
84362	2	2	RES-2026-1849 | TEMP-16279
84367	2	2	RES-2026-1851 | TEMP-16281
84369	2	2	TEMP-16282 | RES-2026-1852
84373	2	2	RES-2026-1853 | TEMP-16283
84374	2	2	RES-2026-1854 | TEMP-16284
84375	2	2	TEMP-16285 | RES-2026-1855
84525	2	2	TEMP-16345 | RES-2026-1856
84734	2	2	MLKN 3341 | CON-COM-2013-108
85180	2	2	COM-2026-156 | TEMP-16612
85188	2	2	TEMP-16613 | COM-2026-152
85498	2	2	TEMP-16543 | RES-2026-1882
85527	2	2	COM-2026-157 | TEMP-18238
86242	2	2	TEMP-17035 | COM-2026-153
86913	2	2	RES-2026-1905 | TEMP-17333
87354	2	2	RES-2026-1907 | TEMP-17503
87495	2	2	TEMP-17590 | RES-2026-1924
87743	2	2	RES-2026-1925 | TEMP-17594
87769	2	2	COM-2026-148 | TEMP-18239
87946	2	2	RES-2026-2087 | TEMP-35033
88058	2	2	CON-COM-2025-587 | CON-COM-2025-507
88117	2	2	COM-2026-144 | TEMP-17879
88146	2	2	COM-2026-149 | TEMP-18240
88554	2	2	TEMP-18053 | RES-2026-1928
88557	2	2	RES-2026-1929 | TEMP-18058
88665	2	2	TEMP-18106 | COM-2026-158
88670	2	2	TEMP-18109 | COM-2026-159
8942	2	2	COM-2015-70 | KNML 1555
9230	2	2	CON-COM-2014-79 | MLKN 2431
9233	2	3	RES-2013-673 | MLKN 3537 | RES-2013-673
9236	2	3	RES-2014-2617 | RES-2014-2617 | KNML 3567
9248	2	2	CON-COM-2018-82 | MLKN 2594
9293	2	4	RES-1995-370 | RES-1995-370 | RES-1995-370 | KNML 3020
9305	2	3	COM-2016-295 | COM-2016-295 | MLKN 1487
9353	2	2	COM-2002-2370 | MLKN 3162
9471	2	2	COM-2019-33 | MLKN 2578
9539	2	3	COM-2019-141 | COM-2019-141 | MLKN 3188
9579	2	2	CON-RES-2018-315 | KNML 6899
9639	2	2	RES-2020-4295 | MLKN 4268
9642	2	3	COM-2016-154 | MLKN 3312 | COM-2016-154
9720	2	3	CON-COM-2010-36 | MLKN 1460 | CON-COM-2010-36
9721	2	3	CON-COM-2010-34 | CON-COM-2010-34 | MLKN 1461
9722	2	3	CON-COM-2010-35 | MLKN 1462 | CON-COM-2010-35
